,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
138,-118.07,33.93,5,906,187.0,1453,158,4.125,<1H OCEAN,171900
139,-117.82,34.05,21,4031,923.0,2558,834,3.1641,<1H OCEAN,117300
140,-117.08,32.68,19,3635,1078.0,3127,1098,1.324,NEAR OCEAN,122600
141,-118.0,33.94,35,2603,482.0,1305,507,3.9543,<1H OCEAN,214400
142,-121.23,37.96,37,2351,564.0,1591,549,1.6563,INLAND,57200
143,-122.49,37.85,38,240,29.0,63,34,12.2547,NEAR BAY,500001
144,-121.96,37.36,16,5040,1325.0,3150,1196,4.2837,<1H OCEAN,264500
145,-118.47,34.01,43,1160,304.0,393,250,2.9167,<1H OCEAN,461100
146,-122.44,37.8,52,3149,719.0,1145,658,4.625,NEAR BAY,500001
147,-117.59,33.88,7,3586,959.0,2695,877,2.4387,INLAND,117000
148,-115.99,33.4,15,1945,536.0,515,273,2.0109,INLAND,54300
149,-116.15,33.69,22,197,54.0,331,70,2.9286,INLAND,112500
150,-122.16,37.45,19,2207,810.0,1304,775,2.1406,NEAR BAY,402500
151,-123.81,39.31,23,2754,577.0,887,432,3.3654,NEAR OCEAN,225000
152,-123.36,39.4,21,1081,254.0,715,275,1.5625,<1H OCEAN,71500
153,-122.05,37.31,25,4601,696.0,2003,666,8.0727,<1H OCEAN,455500
154,-120.47,34.66,4,3376,525.0,1684,535,4.9237,NEAR OCEAN,166600
155,-122.46,37.79,52,2059,416.0,999,402,3.7419,NEAR BAY,500001
156,-121.12,39.2,9,1431,254.0,681,221,3.045,INLAND,170400
157,-118.26,34.02,48,1465,440.0,1859,400,1.3134,<1H OCEAN,96200
158,-120.54,37.68,18,335,76.0,189,67,1.2273,INLAND,87500
159,-119.11,34.17,37,470,105.0,522,83,2.0368,NEAR OCEAN,243800
160,-121.29,38.76,12,1198,174.0,443,170,6.0097,INLAND,187500
161,-118.25,33.97,36,1026,294.0,1316,268,1.7708,<1H OCEAN,102600
162,-118.11,34.06,32,1273,344.0,1148,368,2.1061,<1H OCEAN,214700
163,-121.08,38.85,10,2509,422.0,1037,389,6.0,INLAND,220100
164,-116.86,32.8,19,1747,291.0,848,290,4.875,<1H OCEAN,187200
165,-117.34,33.16,31,2851,458.0,1286,467,4.5694,NEAR OCEAN,243700
166,-122.54,37.76,45,1592,325.0,920,322,3.96,NEAR OCEAN,272200
167,-121.51,38.26,52,910,212.0,429,212,1.6458,INLAND,52800
168,-120.9,39.95,20,1349,238.0,601,203,3.5417,INLAND,96600
169,-121.49,38.58,52,569,405.0,509,367,0.9196,INLAND,137500
170,-122.09,37.64,36,1885,307.0,853,271,4.1141,NEAR BAY,173100
171,-121.41,38.53,37,1058,224.0,588,231,2.9737,INLAND,72100
172,-117.89,33.71,16,1591,225.0,926,239,6.2452,<1H OCEAN,266300
173,-118.56,34.19,35,782,144.0,425,140,5.4548,<1H OCEAN,201400
174,-116.53,33.88,5,4423,763.0,1906,667,4.6855,INLAND,125200
175,-122.7,38.35,14,1555,369.0,493,335,1.6033,<1H OCEAN,67500
176,-118.15,33.91,35,574,116.0,610,147,3.3182,<1H OCEAN,133300
177,-121.99,37.3,28,4863,901.0,2110,868,5.1483,<1H OCEAN,342000
178,-122.12,37.81,26,4048,513.0,1486,498,7.6717,NEAR BAY,416500
179,-117.08,33.12,43,107,44.0,107,48,0.7054,<1H OCEAN,137500
180,-118.15,34.71,36,1338,250.0,709,250,3.5625,INLAND,101400
181,-118.36,34.06,52,2130,455.0,921,395,2.9605,<1H OCEAN,500001
182,-121.85,37.33,19,2228,559.0,2845,551,2.6,<1H OCEAN,172800
183,-122.25,37.79,52,1339,391.0,1086,363,2.181,NEAR BAY,138800
184,-118.34,34.86,11,7353,1482.0,3571,1308,2.8097,INLAND,130000
185,-118.33,33.82,26,5591,934.0,2824,939,6.5861,<1H OCEAN,417800
186,-117.47,34.07,24,1017,227.0,568,187,1.5972,INLAND,112500
187,-122.71,38.43,38,1689,526.0,1071,529,1.5026,<1H OCEAN,124000
188,-117.26,33.19,2,2629,509.0,1044,522,4.2361,NEAR OCEAN,158500
189,-118.1,33.9,40,1880,377.0,1229,378,4.4167,<1H OCEAN,174600
190,-117.66,34.13,17,3229,405.0,1289,407,6.3842,INLAND,307100
191,-119.03,34.25,25,3344,502.0,1483,496,6.196,<1H OCEAN,340600
192,-118.27,34.13,46,1613,396.0,966,416,2.9392,<1H OCEAN,230300
193,-122.31,38.27,34,1748,284.0,783,303,4.3585,NEAR BAY,194400
194,-117.04,32.62,26,3620,607.0,2000,593,4.9962,NEAR OCEAN,156000
195,-118.05,33.72,22,5416,1271.0,2260,1184,3.8038,<1H OCEAN,174500
196,-122.0,37.84,16,7681,946.0,2777,908,9.5271,<1H OCEAN,500001
197,-122.5,37.97,25,6526,1902.0,5917,1812,2.7273,NEAR BAY,187500
198,-119.18,34.2,21,494,127.0,489,106,2.6964,NEAR OCEAN,170800
199,-121.93,37.29,36,2241,437.0,989,442,3.9625,<1H OCEAN,288200
200,-117.31,34.15,7,5747,1307.0,2578,1147,3.3281,INLAND,122200
201,-117.0,32.73,17,6050,1143.0,3424,1131,3.7647,<1H OCEAN,127600
202,-117.73,33.61,16,590,130.0,178,121,4.8611,<1H OCEAN,186800
203,-118.33,33.91,35,1092,302.0,962,297,3.5903,<1H OCEAN,183300
204,-117.4,33.85,9,7538,1125.0,3450,1077,5.4625,INLAND,223600
205,-121.94,37.71,15,6473,1027.0,2484,970,5.0143,<1H OCEAN,271100
206,-120.84,37.47,11,2285,499.0,1468,471,2.7857,INLAND,110300
207,-121.99,37.27,21,1214,192.0,500,185,7.598,<1H OCEAN,347800
208,-121.22,38.68,10,6262,1278.0,2954,1169,3.4506,INLAND,139000
209,-118.25,33.92,46,723,154.0,411,165,2.0893,<1H OCEAN,96500
210,-122.42,37.73,35,1871,342.0,1055,310,4.625,NEAR BAY,279300
211,-121.62,36.14,25,726,274.0,411,214,3.2375,NEAR OCEAN,450000
212,-120.72,37.38,22,1311,319.0,1455,340,2.2813,INLAND,67300
213,-121.28,37.94,44,1406,357.0,1489,386,1.4688,INLAND,56800
214,-117.97,33.84,18,1063,209.0,462,223,2.8348,<1H OCEAN,219000
215,-117.87,33.84,23,1678,369.0,912,347,4.5,<1H OCEAN,237300
216,-122.24,37.8,52,1586,398.0,1006,335,2.1348,NEAR BAY,140600
217,-120.98,38.34,27,3471,653.0,1793,600,3.5508,INLAND,99100
218,-122.28,37.84,52,729,160.0,395,155,1.6875,NEAR BAY,132000
219,-118.3,33.74,40,1896,416.0,950,383,2.425,NEAR OCEAN,255000
220,-114.62,33.62,26,18,3.0,5,3,0.536,INLAND,275000
221,-118.28,33.99,37,1971,513.0,1673,464,1.4625,<1H OCEAN,103000
222,-122.67,38.31,28,1915,419.0,930,342,3.7875,<1H OCEAN,292700
223,-117.75,34.06,44,477,135.0,502,117,2.0156,INLAND,112500
224,-118.3,33.89,37,2132,565.0,1369,565,3.285,<1H OCEAN,218100
225,-118.13,34.58,29,2370,475.0,1746,483,3.7464,INLAND,113500
226,-121.43,38.48,12,4602,930.0,2299,860,3.0625,INLAND,90500
227,-118.91,35.27,29,1401,317.0,1344,306,2.0921,INLAND,61400
228,-118.12,33.91,36,2053,386.0,1023,394,3.0,<1H OCEAN,216600
229,-118.29,33.93,32,1815,488.0,1715,475,1.7244,<1H OCEAN,111200
230,-118.47,34.02,35,3057,774.0,2223,732,2.0745,<1H OCEAN,332500
231,-118.07,33.72,24,1240,296.0,513,254,4.9044,NEAR OCEAN,485000
232,-122.07,37.39,30,1695,480.0,932,447,3.5045,NEAR BAY,352500
233,-118.56,34.42,2,966,270.0,233,169,1.9667,<1H OCEAN,450000
234,-117.07,32.58,25,1607,280.0,899,260,3.8194,NEAR OCEAN,134400
235,-117.67,33.63,9,5774,1320.0,3086,1265,4.4063,<1H OCEAN,202200
236,-122.15,37.68,30,2261,443.0,929,383,4.2841,NEAR BAY,213400
237,-120.65,35.27,27,2034,341.0,768,316,4.2411,NEAR OCEAN,258900
238,-118.27,33.95,29,1579,351.0,1056,322,2.3056,<1H OCEAN,98500
239,-118.49,34.43,15,8244,1409.0,4453,1357,5.4829,<1H OCEAN,199600
240,-118.06,34.14,40,2662,379.0,1151,387,8.4889,INLAND,500001
241,-117.04,32.8,11,1802,440.0,630,428,2.0337,<1H OCEAN,146700
242,-118.19,33.98,36,4179,431.5,4582,1196,2.0087,<1H OCEAN,172100
243,-118.31,33.74,36,2464,472.0,1111,457,4.5074,NEAR OCEAN,350000
244,-118.07,33.99,39,552,151.0,807,168,3.25,<1H OCEAN,153300
245,-117.9,33.88,34,1396,245.0,661,261,4.675,<1H OCEAN,215400
246,-121.91,37.33,52,2212,563.0,1195,532,2.894,<1H OCEAN,209500
247,-119.17,34.2,36,2028,523.0,2751,496,3.015,NEAR OCEAN,149300
248,-122.07,37.89,28,3410,746.0,1428,670,4.3864,NEAR BAY,266800
249,-121.86,38.04,52,242,59.0,188,54,1.3958,INLAND,67500
250,-117.16,32.74,49,1815,495.0,601,410,3.0571,NEAR OCEAN,418800
251,-117.92,34.59,7,681,125.0,485,104,2.7396,INLAND,125600
252,-118.17,33.97,33,2410,641.0,2106,593,2.2422,<1H OCEAN,168200
253,-117.87,33.71,16,3397,686.0,1924,621,4.9148,<1H OCEAN,155500
254,-118.12,33.86,44,2663,511.0,1277,462,4.3194,<1H OCEAN,199500
255,-118.11,33.9,26,4173,893.0,2471,863,3.5052,<1H OCEAN,196000
256,-118.34,33.87,28,4605,1188.0,2558,1093,3.6988,<1H OCEAN,266600
257,-121.21,39.24,7,4194,673.0,1355,566,4.3702,INLAND,226100
258,-118.35,34.1,18,7432,2793.0,3596,2270,2.8036,<1H OCEAN,225000
259,-117.37,33.98,27,1342,547.0,844,484,1.1194,INLAND,95800
260,-121.75,37.69,26,2647,536.0,1422,522,3.7212,INLAND,183800
261,-117.31,34.04,29,2481,383.0,1188,385,4.7344,INLAND,134600
262,-121.78,37.33,10,2829,394.0,1510,386,6.68,<1H OCEAN,359500
263,-118.25,34.15,13,1107,479.0,616,443,0.8185,<1H OCEAN,187500
264,-117.09,32.66,46,844,147.0,423,161,3.375,NEAR OCEAN,136300
265,-122.26,37.82,40,624,195.0,423,160,0.9506,NEAR BAY,187500
266,-121.87,37.36,34,938,242.0,769,226,3.5625,<1H OCEAN,194500
267,-118.12,34.08,36,2433,585.0,1565,563,3.2344,<1H OCEAN,234900
268,-118.28,34.03,25,1407,550.0,1193,472,1.2989,<1H OCEAN,225000
269,-117.62,34.05,33,883,211.0,1007,210,2.8281,INLAND,103600
270,-121.47,38.51,52,20,4.0,74,9,3.625,INLAND,80000
271,-121.82,37.32,10,2506,623.0,2634,622,3.135,<1H OCEAN,231400
272,-118.09,34.17,36,2875,552.0,1131,458,4.3083,INLAND,269300
273,-118.02,33.96,36,2002,361.0,913,311,4.5446,<1H OCEAN,244700
274,-121.65,37.12,14,4721,999.0,2648,888,3.6895,<1H OCEAN,239300
275,-118.07,33.97,32,3400,826.0,3017,793,2.4607,<1H OCEAN,155600
276,-118.42,34.27,33,1209,341.0,1097,283,1.6295,<1H OCEAN,134300
277,-118.36,34.09,36,1390,458.0,874,468,2.5812,<1H OCEAN,200000
278,-117.91,33.62,35,2426,359.0,937,387,9.2175,<1H OCEAN,500001
279,-120.57,34.96,27,1401,294.0,1306,286,2.5809,NEAR OCEAN,83200
280,-122.35,37.94,34,1880,459.0,1358,422,1.6571,NEAR BAY,105200
281,-122.1,37.41,33,6277,1274.0,3025,1211,5.4721,NEAR BAY,343300
282,-121.89,37.32,34,1014,246.0,952,215,2.8864,<1H OCEAN,172500
283,-121.88,37.28,33,2951,529.0,1288,521,4.1554,<1H OCEAN,313100
284,-118.03,33.7,15,3244,421.0,1259,413,7.7854,<1H OCEAN,395300
285,-117.92,33.85,44,1231,258.0,682,244,3.2344,<1H OCEAN,170100
286,-122.09,41.32,52,4019,824.0,1728,706,2.2462,INLAND,62900
287,-118.26,34.09,36,3503,833.0,2652,788,3.8448,<1H OCEAN,241400
288,-117.95,33.8,34,1654,285.0,905,292,4.6389,<1H OCEAN,214600
289,-118.3,33.92,34,2053,382.0,1258,380,3.0139,<1H OCEAN,154700
290,-117.05,33.1,13,5516,746.0,2119,662,6.1868,<1H OCEAN,320200
291,-121.38,38.47,4,14418,2282.0,6578,2140,4.5604,INLAND,145900
292,-118.39,33.97,46,2198,352.0,839,335,6.5778,<1H OCEAN,350800
293,-117.2,34.24,22,8106,1665.0,1062,423,3.0434,INLAND,137200
294,-118.44,34.26,34,1102,212.0,949,212,4.0792,<1H OCEAN,165100
295,-122.45,37.66,36,5456,926.0,2761,916,4.7755,NEAR OCEAN,280700
296,-116.89,32.85,15,3560,593.0,1757,574,5.1185,<1H OCEAN,185300
297,-117.86,33.75,39,275,87.0,554,103,3.5972,<1H OCEAN,158000
298,-122.46,37.63,22,6728,1382.0,3783,1310,5.0479,NEAR OCEAN,280400
299,-118.43,34.06,11,3184,641.0,911,463,7.2675,<1H OCEAN,500001
300,-117.69,33.58,8,2887,351.0,1176,351,10.3953,<1H OCEAN,500001
301,-122.3,37.57,36,2406,436.0,1189,403,4.7917,NEAR BAY,276100
302,-122.65,38.96,27,2143,580.0,898,367,1.6769,INLAND,63200
303,-118.42,34.02,21,3244,815.0,1423,781,3.6488,<1H OCEAN,340800
304,-118.31,33.72,26,2711,508.0,1372,459,4.1451,NEAR OCEAN,326700
305,-118.96,35.37,32,1025,259.0,874,236,1.9612,INLAND,53400
306,-118.35,34.01,33,3246,601.0,1585,603,3.6629,<1H OCEAN,353200
307,-118.2,33.94,45,1570,328.0,1321,300,3.7361,<1H OCEAN,171800
308,-120.17,39.32,14,2421,489.0,1000,354,3.5652,INLAND,119800
309,-117.26,32.96,36,1721,264.0,710,282,10.1768,NEAR OCEAN,500001
310,-117.43,34.08,13,4563,1187.0,2475,1019,2.1189,INLAND,121700
311,-117.3,34.13,42,2115,557.0,1532,494,1.4531,INLAND,71500
312,-120.77,37.01,28,1689,378.0,1057,267,3.125,INLAND,156300
313,-122.13,37.44,43,3004,440.0,1088,427,9.1508,NEAR BAY,500001
314,-118.51,34.24,31,5297,664.0,1986,657,8.6454,<1H OCEAN,483500
315,-120.98,37.67,33,1433,298.0,824,302,2.7621,INLAND,109100
316,-118.44,34.22,36,1191,266.0,718,248,3.4612,<1H OCEAN,178800
317,-120.16,37.12,29,1995,392.0,1261,354,1.9073,INLAND,79200
318,-118.33,33.79,29,4389,873.0,2069,901,4.1071,<1H OCEAN,365600
319,-116.97,32.74,14,7410,1344.0,3597,1274,4.2192,<1H OCEAN,176100
320,-121.02,37.09,17,1118,270.0,560,244,2.0216,INLAND,112500
321,-121.52,39.48,21,2628,494.0,1364,468,2.0455,INLAND,59400
322,-115.57,32.79,34,1152,208.0,621,208,3.6042,INLAND,73600
323,-118.1,33.84,35,1790,269.0,924,263,5.296,<1H OCEAN,226200
324,-118.31,35.74,18,2327,642.0,799,335,1.8419,INLAND,92300
325,-118.69,34.21,10,3663,409.0,1179,371,12.542,<1H OCEAN,500001
326,-117.64,33.45,27,334,56.0,130,46,4.875,NEAR OCEAN,284100
327,-121.16,38.03,28,253,50.0,201,51,1.4732,INLAND,156300
328,-118.08,33.91,30,3259,942.0,2744,895,2.8608,<1H OCEAN,165600
329,-122.32,38.01,26,3054,492.0,1495,496,4.6944,NEAR BAY,171100
330,-119.33,36.28,16,2624,527.0,1077,520,2.125,INLAND,104200
331,-118.13,34.11,45,1780,289.0,755,328,4.825,<1H OCEAN,351100
332,-121.84,37.38,33,835,181.0,781,169,5.1082,<1H OCEAN,195800
333,-118.33,34.03,46,2312,625.0,1552,603,1.6429,<1H OCEAN,125000
334,-117.22,33.48,5,1585,247.0,510,181,6.9136,<1H OCEAN,493300
335,-120.37,38.01,30,473,431.5,242,93,2.5417,INLAND,123200
336,-119.79,36.79,19,1524,448.0,960,386,1.5122,INLAND,47500
337,-116.97,32.83,17,6659,1402.0,3183,1378,2.949,<1H OCEAN,117300
338,-118.31,34.18,11,3112,890.0,1700,851,3.1587,<1H OCEAN,181300
339,-118.16,34.04,11,852,215.0,806,202,1.3971,<1H OCEAN,134400
340,-121.33,38.69,15,3137,509.0,1635,544,4.6923,INLAND,122700
341,-116.98,34.05,6,2290,312.0,957,274,7.2708,INLAND,316700
342,-120.46,37.29,30,2972,635.0,1940,590,2.3594,INLAND,72300
343,-118.11,34.1,44,2012,435.0,1454,456,3.3229,<1H OCEAN,226600
